mot,nessais,valeurMot
VENEZ,0,0.0
VENEZ,1,0.0
VENEZ,2,0.0
VENEZ,3,0.0
VENEZ,4,0.0
CARNE,0,0.0
CARNE,1,0.0
CARNE,2,0.0
CARNE,3,0.0
CARNE,4,0.0
RAMPE,0,0.0
RAMPE,1,0.0
RAMPE,2,0.0
RAMPE,3,0.0
RAMPE,4,0.0
LEGOS,0,0.0
LEGOS,1,0.0
LEGOS,2,0.0
LEGOS,3,0.0
LEGOS,4,0.0
TASSE,0,0.0
TASSE,1,0.0
TASSE,2,0.0
TASSE,3,0.0
TASSE,4,0.0
FIXER,0,0.0
FIXER,1,0.0
FIXER,2,0.0
FIXER,3,0.0
FIXER,4,0.0
NAZES,0,0.0
NAZES,1,0.0
NAZES,2,0.0
NAZES,3,0.0
NAZES,4,0.0
TIRES,0,0.0
TIRES,1,0.0
TIRES,2,0.0
TIRES,3,0.0
TIRES,4,0.0
SALTO,0,0.0
SALTO,1,0.0
SALTO,2,0.0
SALTO,3,0.0
SALTO,4,0.0
ELEVE,0,0.0
ELEVE,1,0.0
ELEVE,2,0.0
ELEVE,3,0.0
ELEVE,4,0.0
